region,type,SingleAVGPrice,NonTypeAvgPrice
Plains,conventional,1.26630769230769,1.48261538461538
Plains,organic,1.69892307692308,1.48261538461538
Portland,conventional,1.14446153846154,1.42730769230769
Portland,organic,1.71015384615385,1.42730769230769
RaleighGreensboro,conventional,1.31938461538462,1.72553846153846
RaleighGreensboro,organic,2.13169230769231,1.72553846153846
RichmondNorfolk,conventional,1.21307692307692,1.36892307692308
RichmondNorfolk,organic,1.52476923076923,1.36892307692308
Roanoke,conventional,1.16538461538462,1.34492307692308
Roanoke,organic,1.52446153846154,1.34492307692308
Sacramento,conventional,1.38153846153846,1.71830769230769
Sacramento,organic,2.05507692307692,1.71830769230769
SanDiego,conventional,1.19953846153846,1.56484615384615
SanDiego,organic,1.93015384615385,1.56484615384615
SanFrancisco,conventional,1.46630769230769,1.88907692307692
SanFrancisco,organic,2.31184615384615,1.88907692307692
Seattle,conventional,1.31215384615385,1.57269230769231
Seattle,organic,1.83323076923077,1.57269230769231
SouthCarolina,conventional,1.25969230769231,1.44076923076923
SouthCarolina,organic,1.62184615384615,1.44076923076923
SouthCentral,conventional,0.924153846153846,1.15207692307692
SouthCentral,organic,1.38,1.15207692307692
Southeast,conventional,1.29953846153846,1.47353846153846
Southeast,organic,1.64753846153846,1.47353846153846
Spokane,conventional,1.20323076923077,1.57138461538462
Spokane,organic,1.93953846153846,1.57138461538462
StLouis,conventional,1.32538461538462,1.56853846153846
StLouis,organic,1.81169230769231,1.56853846153846
Syracuse,conventional,1.43923076923077,1.52684615384615
Syracuse,organic,1.61446153846154,1.52684615384615
Tampa,conventional,1.37615384615385,1.56607692307692
Tampa,organic,1.756,1.56607692307692
TotalUS,conventional,1.19184615384615,1.41269230769231
TotalUS,organic,1.63353846153846,1.41269230769231
West,conventional,1.07661538461538,1.37284615384615
West,organic,1.66907692307692,1.37284615384615
WestTexNewMexico,conventional,0.895076923076923,1.275859375
WestTexNewMexico,organic,1.66873015873016,1.275859375
